Date,Open,High,Low,Close,Adj Close,Volume
10-02-2020,41166.71875,41172.05859,40798.98047,40979.62109,40979.62109,15200
11-02-2020,41183.39063,41444.33984,41179.14063,41216.14063,41216.14063,7700
12-02-2020,41330.85156,41671.85938,41330.85156,41565.89844,41565.89844,9600
13-02-2020,41707.21094,41709.30078,41338.30859,41459.78906,41459.78906,9100
14-02-2020,41510.19141,41702.35938,41183.12891,41257.73828,41257.73828,9800
17-02-2020,41324.03906,41420.33984,41030.57813,41055.69141,41055.69141,6900
18-02-2020,41042.46094,41042.46094,40610.94922,40894.37891,40894.37891,12300
19-02-2020,41121.51172,41357.16016,41048.92969,41323,41323,5600
20-02-2020,41334.96094,41399.92969,41134.30859,41170.12109,41170.12109,8400
24-02-2020,41037.01172,41037.01172,40306.35938,40363.23047,40363.23047,8100
25-02-2020,40497.71875,40536,40220.58984,40281.19922,40281.19922,7300
26-02-2020,40194.89063,40255.39063,39760.39063,39888.96094,39888.96094,9000
27-02-2020,39947.80078,39947.80078,39423.26953,39745.66016,39745.66016,9600
28-02-2020,39087.46875,39087.46875,38219.96875,38297.28906,38297.28906,12700
02-03-2020,38910.94922,39083.17188,37785.98828,38144.01953,38144.01953,13400
03-03-2020,38480.89063,38754.23828,38142.30078,38623.69922,38623.69922,10600
04-03-2020,38715.71875,38791.69922,37846.10156,38409.48047,38409.48047,15300
05-03-2020,38604.25,38887.80078,38386.67969,38470.60938,38470.60938,13500
06-03-2020,37613.96094,37747.07031,37011.08984,37576.62109,37576.62109,19000
09-03-2020,36950.19922,36950.19922,35109.17969,35634.94922,35634.94922,18800
11-03-2020,35468.89844,36021.51172,35261.92188,35697.39844,35697.39844,27900
12-03-2020,34472.5,34472.5,32493.09961,32778.14063,32778.14063,25200
13-03-2020,31214.13086,34769.48047,29388.9707,34103.48047,34103.48047,32600
16-03-2020,33103.23828,33103.23828,31276.30078,31390.07031,31390.07031,18100
17-03-2020,31611.57031,32047.98047,30394.93945,30579.08984,30579.08984,21500
18-03-2020,30968.83984,31101.76953,28613.05078,28869.50977,28869.50977,31300
19-03-2020,27773.35938,29370.5293,26714.46094,28288.23047,28288.23047,33200
20-03-2020,28460.82031,30418.19922,27932.66992,29915.96094,29915.96094,32100
23-03-2020,27608.80078,27900.83008,25880.83008,25981.24023,25981.24023,21800
24-03-2020,27056.23047,27462.86914,25638.90039,26674.0293,26674.0293,24700
25-03-2020,26499.81055,28790.18945,26359.91016,28535.7793,28535.7793,141500
26-03-2020,29073.71094,30099.91016,28566.33984,29946.76953,29946.76953,35000
27-03-2020,30747.81055,31126.0293,29346.99023,29815.58984,29815.58984,116900
30-03-2020,29226.55078,29497.57031,28290.99023,28440.32031,28440.32031,23200
31-03-2020,29294.93945,29770.88086,28667.35938,29468.49023,29468.49023,26400
01-04-2020,29505.33008,29505.98047,28073.42969,28265.31055,28265.31055,18000
03-04-2020,28623.5293,28639.11914,27500.78906,27590.94922,27590.94922,18900
07-04-2020,28898.35938,30157.65039,28602.31055,30067.21094,30067.21094,21900
08-04-2020,29701.91992,31227.9707,29602.93945,29893.96094,29893.96094,24700
09-04-2020,30571.18945,31225.19922,30420.2207,31159.61914,31159.61914,18800
13-04-2020,31195.7207,31195.7207,30474.15039,30690.01953,30690.01953,16100
15-04-2020,31277.10938,31568.35938,30222.07031,30379.81055,30379.81055,23600
16-04-2020,30095.50977,30800.19922,30016.16992,30602.60938,30602.60938,16900
17-04-2020,31656.67969,31718.73047,30960.93945,31588.7207,31588.7207,22200
20-04-2020,32056.18945,32056.4707,31490.25977,31648,31648,17200
21-04-2020,30836.18945,30900.11914,30378.25977,30636.71094,30636.71094,19700
22-04-2020,30856.14063,31471.14063,30578.55078,31379.55078,31379.55078,21000
23-04-2020,31646.44922,31959.01953,31292.91992,31863.08008,31863.08008,24400
24-04-2020,31426.61914,31842.24023,31278.26953,31327.2207,31327.2207,17600
27-04-2020,31659.03906,32103.69922,31651.58008,31743.08008,31743.08008,12900
28-04-2020,32101.91016,32199.91016,31661.33984,32114.51953,32114.51953,15600
29-04-2020,32311.03906,32897.58984,32171.65039,32720.16016,32720.16016,16000
30-04-2020,33381.19141,33887.25,33354.92969,33717.62109,33717.62109,21100
04-05-2020,32748.14063,32748.14063,31632.01953,31715.34961,31715.34961,18300
05-05-2020,32182.90039,32264,31403.57031,31453.50977,31453.50977,19200
06-05-2020,31577.63086,31970.83984,31158.75,31685.75,31685.75,19200
07-05-2020,31677.68945,31705.25,31362.86914,31443.38086,31443.38086,19900
08-05-2020,32083.32031,32088.50977,31598,31642.69922,31642.69922,15900
11-05-2020,32030.33984,32301.58008,31500.86914,31561.2207,31561.2207,18100
